,postal_code,name,lat,lon
9790,27930,Miserey,49.0197,1.2574
9791,27320,Moisville,48.8483,1.1633
9792,27340,Terres de Bord,49.2429,1.1183
9793,27400,Terres de Bord,49.2429,1.1183
9794,27290,Montfort-sur-Risle,49.2942,0.6701
9795,27390,Montreuil-l'Argillé,48.9386,0.4692
9796,27260,Morainville-Jouveaux,49.2233,0.447
9797,27150,Morgny,49.3722,1.58
9798,27800,Morsan,49.1777,0.5955
9799,27220,Mouettes,48.8866,1.365
9800,27420,Mouflaines,49.2449,1.5551
9801,27220,Mousseaux-Neuville,48.9023,1.3386
9802,27430,Muids,49.2248,1.2858
9803,27650,Muzy,48.7764,1.3245
9804,27190,Nagel-Séez-Mesnil,48.9249,0.9424
9805,27170,Nassandres sur Risle,49.1406,0.719
9806,27300,Nassandres sur Risle,49.1406,0.719
9807,27550,Nassandres sur Risle,49.1406,0.719
9808,27830,Neaufles-Saint-Martin,49.2789,1.7258
9809,27250,Neaufles-Auvergny,48.8758,0.7472
9810,27110,Le Neubourg,49.149,0.8903
9811,27730,Neuilly,48.9313,1.4153
9812,27150,La Neuve-Grange,49.3604,1.5603
9813,27330,La Neuve-Lyre,48.9027,0.7344
9814,27890,La Neuville-du-Bosc,49.1939,0.8142
9815,27800,Neuville-sur-Authou,49.2071,0.6277
9816,27560,Noards,49.2115,0.51
9817,27560,La Noë-Poulain,49.2707,0.5193
9818,27190,Nogent-le-Sec,48.9206,1.0091
9819,27150,Nojeon-en-Vexin,49.3312,1.5543
9820,27320,Nonancourt,48.7775,1.1907
9821,27930,Normanville,49.0748,1.1658
9822,27940,Notre-Dame-de-l'Isle,49.1571,1.4477
9823,27800,Notre-Dame-d'Épine,49.1955,0.5976
9824,27390,Notre-Dame-du-Hamel,48.891,0.5061
9825,27410,Le Noyer-en-Ouche,49.0063,0.763
9826,27720,Noyers,49.2466,1.6747
9827,27190,Ormes,49.057,0.9558
9828,27190,Le Val-Doré,48.9471,1.003
9829,27120,Pacy-sur-Eure,49.019,1.3764
9830,27180,Parville,49.032,1.0952
9831,27910,Perriers-sur-Andelle,49.4054,1.3697
9832,27910,Perruel,49.4342,1.3601
9833,27230,Piencourt,49.1714,0.409
9834,27400,Pinterville,49.19,1.191
9835,27130,Piseux,48.7727,0.9629
9836,27590,Pîtres,49.3302,1.2159
9837,27230,Les Places,49.1546,0.418
9838,27300,Plainville,49.0771,0.5025
9839,27230,Le Planquay,49.0946,0.4251
9840,27300,Plasnes,49.1369,0.6241
9841,27180,Le Plessis-Grohan,48.943,1.1315
9842,27120,Le Plessis-Hébert,48.9817,1.3659
9843,27170,Le Plessis-Sainte-Opportune,49.0744,0.8516
9844,27500,Pont-Audemer,49.3476,0.5259
9845,27290,Pont-Authou,49.239,0.7014
9846,27340,Pont-de-l'Arche,49.2911,1.1447
9847,27360,Pont-Saint-Pierre,49.3414,1.2892
9848,27100,Porte-de-Seine,49.2663,1.2537
9849,27430,Porte-de-Seine,49.2663,1.2537
9850,27190,Portes,49.0254,0.9486
9851,27940,Port-Mort,49.1708,1.4102
9852,27740,Poses,49.2987,1.2416
9853,27560,La Poterie-Mathieu,49.2517,0.52
9854,27500,Les Préaux,49.3294,0.4778
9855,27510,Pressagny-l'Orgueilleux,49.1296,1.4628
9856,27220,Prey,48.9556,1.2172
9857,27150,Puchay,49.3536,1.5257
9858,27130,Pullay,48.7258,0.8692
9859,27370,La Pyle,49.1988,0.8962
9860,27400,Quatremare,49.184,1.0805
9861,27680,Quillebeuf-sur-Seine,49.4678,0.5063
9862,27110,Quittebeuf,49.1062,1.0027
9863,27380,Radepont,49.3518,1.3215
9864,27910,Renneville,49.3935,1.3286
9865,27930,Reuilly,49.0752,1.2218
9866,27420,Richeville,49.259,1.5405
9867,27170,Romilly-la-Puthenaye,49.0142,0.8362
9868,27610,Romilly-sur-Andelle,49.3333,1.2569
9869,27700,La Roquette,49.2594,1.3432
9870,27790,Rosay-sur-Lieure,49.3746,1.4271
9871,27350,Rougemontiers,49.3593,0.7307
9872,27110,Rouge-Perriers,49.1462,0.834
9873,27350,Routot,49.386,0.7254
9874,27120,Rouvray,49.0665,1.3423
9875,27250,Rugles,48.8147,0.6895
9876,27930,Sacquenville,49.0817,1.0727
9877,27390,Saint-Agnan-de-Cernières,48.9476,0.5308
9878,27220,Saint-André-de-l'Eure,48.9049,1.2768
9879,27250,Saint-Antonin-de-Sommaire,48.8301,0.6632
9880,27110,Saint-Aubin-d'Écrosville,49.1443,0.9853
9881,27230,Saint-Aubin-de-Scellon,49.1783,0.4735
9882,27270,Saint-Aubin-du-Thenney,49.0159,0.4931
9883,27270,Treis-Sants-en-Ouche,49.0574,0.6249
9884,27300,Treis-Sants-en-Ouche,49.0574,0.6249
9885,27600,Saint-Aubin-sur-Gaillon,49.1277,1.3373
9886,27680,Saint-Aubin-sur-Quillebeuf,49.4503,0.5238
9887,27450,Saint-Benoît-des-Ombres,49.226,0.6174
9888,27820,Saint-Christophe-sur-Avre,48.6964,0.8066
9889,27450,Saint-Christophe-sur-Condé,49.2863,0.6022
9890,27110,Sainte-Colombe-la-Commanderie,49.1102,0.9335
9891,27950,Sainte-Colombe-près-Vernon,49.0943,1.3367
9892,27800,Saint-Cyr-de-Salerne,49.1828,0.6509
9893,27100,Le Vaudreuil,49.2602,1.2011
9894,27370,Saint-Cyr-la-Campagne,49.2505,1.0192
9895,27390,Saint-Denis-d'Augerons,48.9159,0.4728
9896,27520,Saint-Denis-des-Monts,49.2577,0.8039
9897,27140,Saint-Denis-le-Ferment,49.3192,1.7168
9898,27370,Saint-Didier-des-Bois,49.244,1.0345
9899,27190,Saint-Élier,48.9868,0.9622
9900,27800,Saint-Éloi-de-Fourques,49.2357,0.8027
9901,27430,Saint-Étienne-du-Vauvray,49.2416,1.2175
9902,27450,Saint-Étienne-l'Allier,49.2638,0.5581
9903,27920,Saint-Étienne-sous-Bailleul,49.1161,1.4042
9904,27620,Sainte-Geneviève-lès-Gasny,49.0809,1.5701
